"","State.x","FIPS","County.x","Age65AndOlderPct2020","AsianNonHispanicPct2020","BlackNonHispanicPct2020","HispanicPct2020","MultipleRacePct2020","NativeAmericanNonHispanicPct2020","Under18Pct2020","WhiteNonHispanicPct2020","AsianHomelessVetPct","BlackHomelessVetPct","HispanicHomelessVetPct","MultiHomelessVetPct","NativeAmHomelessVetPct"
"1","AK",2000,"Alaska",12.67986654,5.924397763,2.826732262,6.79364759,12.20685828,14.84037846,24.46007655,57.50793233,2.30154894243826e-05,0.000530606338333896,0.000160565189466924,0.000100531700996381,0.000211323251070398
"2","AK",2013,"Aleutians East",10.70175439,22.54385965,8.684210526,19.70760234,6.081871345,23.30409357,8.771929825,19.23976608,0.0012970168612192,0.037037037037037,0.0118694362017804,0.0432692307692308,0.0288582183186951
"3","AK",2016,"Aleutians West",7.645259939,28.70795107,4.912079511,12.7675841,7.148318043,13.55122324,12.48088685,30.29434251,0.00066577896138482,0.0428015564202335,0.0119760479041916,0.0240641711229947,0.0324400564174894
"4","AK",2020,"Anchorage",11.83359829,9.366963437,4.730349154,9.077518395,14.00941469,7.71853444,23.46187257,54.3291433,3.66555478171621e-05,0.000798432169557959,0.000302594749981088,0.000220577422675359,0.00102313167259786
"5","AK",2050,"Bethel",8.009214615,1.076824172,0.450016072,1.108968177,5.443051538,83.46726669,35.01553627,8.721740062,0.00497512437810945,0.130952380952381,0.0386473429951691,0.00885826771653543,0.00147625160462131
"6","AK",2060,"Bristol Bay",18.48341232,0.592417062,0.710900474,5.331753555,16.94312796,35.07109005,22.03791469,42.2985782,0.2,1.83333333333333,0.177777777777778,0.0629370629370629,0.0777027027027027
"7","AK",2063,"Chugach",13.7707688,7.420444945,0.647704872,5.589974655,10.70121093,9.250915235,23.17656998,67.13601802,0.00189753320683112,0.239130434782609,0.0201511335012594,0.0118421052631579,0.0350076103500761
"8","AK",2066,"Copper River",18.30340084,0.649598777,0.229270157,3.209782193,10.77569736,24.64654184,22.39205197,60.79480321,0.0588235294117647,1.83333333333333,0.0952380952380952,0.0319148936170213,0.0356589147286822
"9","AK",2068,"Denali",12.0444719,0.802964793,0.555898703,1.976528721,8.585546634,3.64422483,20.25941939,85.11426807,0.0769230769230769,1.22222222222222,0.25,0.0647482014388489,0.389830508474576
"10","AK",2070,"Dillingham",10.6856084,0.926497838,0.391187976,3.005970764,10.21206506,70.24912497,31.66563722,15.85340745,0.0222222222222222,0.578947368421053,0.0547945205479452,0.0181451612903226,0.00674091441969519
"11","AK",2090,"Fairbanks North Star",11.38257279,3.168679107,3.976791595,7.652501176,12.72280592,7.630547279,23.94751973,66.04777586,0.000329924117452986,0.00289169295478444,0.00109289617486339,0.000739523418241578,0.00315111659131388
"12","AK",2100,"Haines",23.17307692,0.673076923,0.096153846,3.221153846,11.63461538,9.855769231,18.17307692,75.81730769,0.0714285714285714,5.5,0.119402985074627,0.0371900826446281,0.11219512195122
"13","AK",2105,"Hoonah-Angoon",24.10147992,0.634249471,0.253699789,5.073995772,12.00845666,35.5602537,21.98731501,47.48414376,0.0666666666666667,1.83333333333333,0.0666666666666667,0.0316901408450704,0.0273483947681332
"14","AK",2110,"Juneau ",14.40396838,6.467214385,1.016896605,6.439311735,15.30615408,10.53170051,21.35482871,60.99209425,0.000479386385426654,0.0335365853658537,0.00385170919595571,0.00182296941462427,0.0067706800117751
"15","AK",2122,"Kenai Peninsula",18.66868484,1.348662392,0.61395602,3.959251008,10.18384666,6.984812667,21.78948622,77.46050103,0.00126103404791929,0.0304709141274238,0.00343642611683849,0.00150300601202405,0.00560019478938398
"16","AK",2130,"Ketchikan Gateway",16.64754804,8.015486091,0.716948666,4.660166332,12.2024663,16.23171781,22.17522225,58.94034987,0.000894454382826476,0.11,0.0123076923076923,0.00528789659224442,0.0101590106007067
"17","AK",2150,"Kodiak Island",12.04488207,21.22738722,0.648805435,7.816197237,9.976337684,13.426456,24.6317075,48.01923517,0.000359582883854729,0.129411764705882,0.0078125,0.00688599846977812,0.0130756111426947
"18","AK",2158,"Kusilvak",6.477055449,0.274856597,0.191204589,0.167304015,2.294455067,94.95697897,40.88193117,2.067399618,0.0434782608695652,0.6875,0.571428571428571,0.046875,0.00289453813239366
"19","AK",2164,"Lake and Peninsula",11.51761518,0.474254743,0.067750678,2.303523035,11.31436314,67.27642276,30.55555556,20.12195122,0.142857142857143,11,0.235294117647059,0.0538922155688623,0.0231621349446123
"20","AK",2170,"Matanuska-Susitna",12.7090707,1.414816821,0.988970966,4.897227333,11.48569774,6.099121226,27.08230218,75.69036524,0.00066006600660066,0.0103871576959396,0.0015255530129672,0.000731766810309781,0.00352166590108712
"21","AK",2180,"Nome",8.242086403,1.085008959,0.517618953,1.851483177,8.371491141,74.73621342,32.79912403,13.86621541,0.00917431192660551,0.211538461538462,0.043010752688172,0.0107015457788347,0.00306339904102291
"22","AK",2185,"North Slope",7.497053758,5.765569758,1.441392439,4.967817968,8.693681443,51.49125193,25.8544103,26.86973076,0.00157232704402516,0.0691823899371069,0.0145985401459854,0.00938477580813347,0.00404929577464789
"23","AK",2188,"Northwest Arctic",7.583728988,0.680097523,0.911074041,1.308866932,5.92839728,82.80508148,36.01950468,8.777107661,0.0188679245283019,0.154929577464789,0.0784313725490196,0.0194805194805195,0.0035642336897567
"24","AK",2195,"Petersburg",19.86462625,3.443201883,1.353737493,4.826368452,12.8310771,6.798116539,20.98293114,71.92466157,0.00854700854700855,0.239130434782609,0.0487804878048781,0.0206422018348624,0.0995670995670996
